PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
WB Rankin,17,7,0.4117647058823529,470
WK McCallan,9,0,0.0,470
WTS Porterfield,51,17,0.3333333333333333,470
WU Tharanga,7,0,0.0,470
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AD Mathews,58,52,0.896551724137931,4950
BKG Mendis,75,41,0.5466666666666666,4950
FDM Karunaratne,29,15,0.5172413793103449,4950
MDKJ Perera,36,30,0.8333333333333334,4950
Mahmudullah,18,6,0.3333333333333333,4950
Mehedi Hasan Miraz,52,43,0.8269230769230769,4950
Mohammad Mithun,24,12,0.5,4950
Mosaddek Hossain,27,13,0.48148148148148145,4950
Mushfiqur Rahim,114,98,0.8596491228070176,4950
Mustafizur Rahman,2,2,1.0,4950
Sabbir Rahman,19,11,0.5789473684210527,4950
Soumya Sarkar,13,11,0.8461538461538461,4950
Taijul Islam,9,3,0.3333333333333333,4950
Tamim Iqbal,31,19,0.6129032258064516,4950
WIA Fernando,79,82,1.0379746835443038,4950
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AB de Villiers,27,36,1.3333333333333333,3689
AD Hales,56,50,0.8928571428571429,3689
AU Rashid,28,39,1.3928571428571428,3689
BA Stokes,2,2,1.0,3689
CH Morris,39,62,1.5897435897435896,3689
CR Woakes,38,33,0.868421052631579,3689
